# SYNTAX:
# 
# 
# | split between indonesian and english words.
# / splits between multiple english definitions for a given indonesian word.
# 
# indonesian_word|englishword(/englishword)*

banjir|flood
menghantam|hit
kota|city
yang|which
itu|that
diakibatkan|result
hujan|rain
duras|hard
sungai|river
membuat|create
meluap|boil over
diprediksi|predicted
kedelaman|depth
akan|will
mencapai|achieve
meter|meter
di|in
puncak|peak
korban|victim
pertama|first
hanyut|float
terseret|trail
air|water
di|in
Araulen|Araulen [PLACE]
sebelah|next to
selatan|south
New South Wales|New South Wales
ketika|when
orang|person
itu|it
mencoba|try
mengendarai|ride
mobil|car
melintasi|across
banyak|many
penggemar|fan
bulutangkis|badminton
bahkan|even
tak|no
yakin|sure
Indonesia|Indonesia
masih|still
akan|will
mampu|capable
mempertahan|maintain        
tradisi|tradition
selalu|always
meraih|reach
emas|gold
Olimpiade|Olympic
terjaga|awake
sejak|since
olahraga|sport
ini|this
masuk|entry
ke|to
tahun|year
Barcelona|Barcelona
pemimpin|leader
politik|political
dan|and
figur|figure
publik|publik
seharusnya|should
harus|should
seharus|should
punya|have
keberanian|courage
untuk|for
menyampai|communicate
secara|in
apa|what
mereka|they
akui|admit
pribadi|personal
yaitu|that is
sejumlah|a number of
bukti|evidence
menunju|leads to
menunjukan|show
bahwa|below
stategi|strategy
represif|repressive
tidak|not
bisa|can
mengatasi|overcome
masalah|problem
obat|medicine
terlarang|forbidden
perang|war
melawan|against
belum|not yet
tidak|not
laporan|report
tersebut|the
mengatakan|say
Dokter|Dokter
Balikmi|Balikmi
kemudian|then
mengungkap|reveal
bahwa|that
dia|she
telah|already
melakukan|do
operasi|operation
hidung|nose
pada|on
anggota|member
parlemen|parliament
meminta|request                        //has NYA at the end of it
menceritakan|tell
kepada|to
siapapun|anyone
tentang|about
anggota|member
tim|team
kesehatan|health
asosiasi|association
Inggris|English
tersebut|the
khawatir|concerned
dengan|with
adanya|presence
penyebaran|deployment
virus|virus
penyakit|disease
menganggu|interfere
upaya|effort
atlet|athlete
meraih|reach
medali|medal
kepala|head
bidang|field
kesehatan|health
meyakini|believes
perbedaan|difference
antara|between
sukses|success
gagal|fail
dalam|in
perebutan|seizure
bisa|can
jadi||so
terletak|situated
pada|on
pribadi|personal
tetapi|but
berdasar|by
penyelidikan|investigation
dilakukan|do
sebuah|a
bentukan|formation
pemerintah|government
menunjukkan|show
sempat|had
ada|there is
korespondensi|correspondence
email|email
dimana|where
ia|he
menulis|write
departemen|department
mengurus|care
persoalan|issue
visa|visa
agar|so
sedikit|slightly
dipercepat|be accelerated
walau|through
menekankan|emphasize
jangan|do not
sampai|to
perlakuan|treatment
istimewa|preferential
pemerintah|government
Singapura|Singapore
mewajibkan|require
negeri|country
memberi|give
minimal|minimal
satu|one
hari|day
libur|holiday
kepada|to
pekerja|worker
rumah|home
tangga|ladder
mereka|they
mulai|start
tahun|year
depan|front
karena|because
belum|not yet
aturan|rule
tegas|firm
tertulis|written
melarang|ban
majikan|employer
menyuruh|have
PRT|PRT
menjemur|season
pakaian|clothing
membersihkan|clean up
jendela|window
dari|of
luar|outer
ketinggian|height
lantai|floor
apartemen|apartment
menurut|by
Tukinah|Tukinah
risiko|risk
kematian|death
terus|continue
terjadi|occur

# di = in OR at!
# mempertahanKAN (the KAN is often added to ends of words
# //NYA shows possessive
